<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;240429;100000;164.1;165.24;163.83;165.14;1.915.440
GAZP;60;240429;110000;165.11;165.24;164.5;164.61;1.131.510
GAZP;60;240429;120000;164.57;164.77;164.51;164.71;289.330
GAZP;60;240429;130000;164.72;164.75;164.51;164.6;362.280
GAZP;60;240429;140000;164.61;164.7;164.3;164.31;391.790
GAZP;60;240429;150000;164.3;164.4;164.01;164.22;597.740
GAZP;60;240429;160000;164.22;164.43;164.1;164.18;298.650
GAZP;60;240429;170000;164.18;164.24;164.05;164.15;354.610
GAZP;60;240429;180000;164.13;164.35;163.83;164.35;889.410
GAZP;60;240429;190000;164.6;164.6;163.85;164.24;426.510
GAZP;60;240429;200000;164.25;164.32;164;164.18;198.510
GAZP;60;240429;210000;164.17;164.53;164.13;164.46;262.620
GAZP;60;240429;220000;164.46;164.49;164;164;330.850
GAZP;60;240429;230000;164.05;164.3;164.01;164.03;351.360
GAZP;60;240430;100000;164.35;164.55;164;164.03;975.910
GAZP;60;240430;110000;164.04;164.29;164.02;164.06;692.300
GAZP;60;240430;120000;164.06;164.11;163.88;163.89;880.870
GAZP;60;240430;130000;163.89;164.06;163.52;163.66;1.114.830
GAZP;60;240430;140000;163.66;163.71;163.43;163.63;568.980
GAZP;60;240430;150000;163.63;163.92;163.52;163.56;514.210
GAZP;60;240430;160000;163.55;163.59;163.45;163.46;167.200
